Country name,year,Happiness Rating,Log GDP per capita,Social support,Healthy life expectancy at birth,Freedom to make life choices,Generosity,Perceptions of corruption
Mauritius,2021,5.949120045,9.950750351,0.886509895,63.84999847,0.802364588,-0.010926317,0.783532083
Mauritius,2022,5.740500927,10.00689125,0.887036204,63.82500076,0.798143804,-0.037532523,0.768953621
Slovenia,2018,6.249419212,10.54522896,0.940971196,70.52500153,0.942045867,-0.122956395,0.839252532
Slovenia,2019,6.665273666,10.5721941,0.949402273,70.69999695,0.945430517,-0.106444225,0.785441816
Slovenia,2020,6.462076187,10.5213213,0.953437507,70.875,0.958442569,-0.088533178,0.796557486
Slovenia,2021,6.761220932,10.59754658,0.955252588,71.05000305,0.851086736,0.027393518,0.754198194
Slovenia,2022,6.723397732,10.64416504,0.941756725,71.22499847,0.930381835,0.101480678,0.762208223
Uzbekistan,2018,6.205460072,8.865442276,0.920821011,64.40000153,0.969897985,0.311532587,0.520360112
Uzbekistan,2019,6.154049397,8.90220356,0.915275931,64.69999695,0.970294535,0.298114806,0.511196852
Uzbekistan,2020,5.841929913,8.901668549,0.849564791,65,0.928216279,0.193077326,0.642043591
Uzbekistan,2021,6.18530798,8.953489304,0.895503759,65.30000305,0.927415252,0.186012119,0.661561668
Uzbekistan,2022,6.016238689,8.989866257,0.878923297,65.59999847,0.959019244,0.308950752,0.615844429
Greece,2018,5.40928936,10.27990723,0.793500781,70.77500153,0.564455688,-0.33752656,0.860302389
Greece,2019,5.952157497,10.29962921,0.890809536,70.90000153,0.613584101,-0.291155934,0.848003805
Greece,2020,5.787615776,10.2074194,0.778536558,71.02500153,0.56461364,-0.244104847,0.764324546
Greece,2021,6.104214191,10.2937727,0.85032618,71.15000153,0.574029803,-0.158694386,0.751816869
Greece,2022,5.90045929,10.36369228,0.875312984,71.27500153,0.562556148,-0.316424966,0.874286056
Uruguay,2018,6.371714592,10.05124474,0.917315602,67.5,0.876210928,-0.105916657,0.682916045
Uruguay,2019,6.600337029,10.05434418,0.933470964,67.5,0.902678788,-0.104386106,0.599399626
Uruguay,2020,6.309681416,9.990978241,0.921070337,67.5,0.907761931,-0.091452166,0.491007835
Uruguay,2021,6.501700401,10.0345459,0.913873136,67.5,0.8987239,-0.050625291,0.60564214
Uruguay,2022,6.670852661,10.08412075,0.904825211,67.5,0.877968609,-0.051668242,0.631336689
Tunisia,2018,4.741132259,9.309548378,0.732953548,66.84999847,0.649680078,-0.195936218,0.84011662
Tunisia,2019,4.315479755,9.314774513,0.609589279,66.90000153,0.659331739,-0.214174494,0.88890475
Tunisia,2020,4.730811119,9.215332031,0.719013214,66.94999695,0.667758107,-0.203692898,0.877354085
Tunisia,2021,4.49948597,9.249362946,0.711321533,67,0.591229916,-0.203170478,0.932745636
Tunisia,2022,4.260868073,9.265902519,0.754739821,67.05000305,0.474189252,-0.230852157,0.908436537
Hungary,2018,5.935770988,10.34568596,0.940591395,67.05000305,0.692627072,-0.246664539,0.911277413
Hungary,2019,6.000259876,10.39357376,0.94651556,67.19999695,0.798041046,-0.198927522,0.883571446
Hungary,2020,6.038049698,10.34918594,0.943400383,67.34999847,0.77096808,-0.125335947,0.836105108
Hungary,2021,6.226647854,10.42207718,0.947892129,67.5,0.727489948,-0.044104263,0.831555367
Hungary,2022,5.861183167,10.48420715,0.937058866,67.65000153,0.775502026,-0.008475153,0.848249376
North Macedonia,2018,5.239834785,9.689579964,0.84891516,65.90000153,0.744800925,-0.045637872,0.909934342
North Macedonia,2019,5.015485287,9.727708817,0.814638495,66.09999847,0.724710405,0.019857395,0.922597229
North Macedonia,2020,5.053664207,9.666660309,0.750374198,66.30000305,0.787284732,0.129589304,0.877421141
North Macedonia,2021,5.534749985,9.709133148,0.808856964,66.5,0.79296577,0.19125995,0.884325325
North Macedonia,2022,5.166881561,9.73342514,0.849509358,66.69999695,0.72308898,0.071886517,0.93721509
Kenya,2018,4.655702591,8.403982162,0.706719875,57.29999924,0.821412981,0.284663737,0.844244063
Kenya,2019,4.618850231,8.434075356,0.675931633,57.70000076,0.817757487,0.303417891,0.794370294
Kenya,2020,4.546584129,8.411473274,0.673717618,58.09999847,0.702034473,0.25438267,0.836516023
Kenya,2021,4.464540958,8.464528084,0.702200711,58.5,0.678108215,0.31601575,0.841331422
Kenya,2022,4.447946548,8.499298096,0.690594971,58.90000153,0.705976129,0.294315904,0.877775729
